IMO Municipality,rp1,rp2,rp3,rp4,rp5,rp6,rp7,rp8,rp9,rp10
Allegany,https://allegany.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Broome,https://imo.co.broome.ny.us/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Cattaraugus,https://maps.cattco.org/imate/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Cayuga,https://imate.cayugacounty.us/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Chemung,https://chemung.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Clinton,https://clinton.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Columbia,https://columbia.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Essex,https://rpts-imo.co.essex.ny.us/IMO/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Fulton,https://gis.fultoncountyny.gov/imo/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Greene,https://greene.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Hamilton,https://hamilton.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Jefferson,https://jefferson.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Lewis,https://lewispublic.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Madison,https://property.madisoncounty.ny.gov/ImateWeb/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Montgomery,http://ranger.co.montgomery.ny.us/IMO/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Onondaga,https://ocfintax.ongov.net/Imate/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Orange,https://propertydata.orangecountygov.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Orleans,https://orleans.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Oswego,https://rptsweb.oswegocounty.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Otsego,https://imo.otsegocounty.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Putnam,https://putnam.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Rensselaer,https://rensselaer.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Saratoga,https://saratoga.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Schenectady,http://imate.schenectadycounty.com/imate/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Schoharie,https://imo.schohariecounty-ny.gov/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Schuyler,https://schuyler.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Seneca,https://imo.co.seneca.ny.us/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Steuben,http://imo.steubencountyny.gov/IMO/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Sullivan,http://webapps.co.sullivan.ny.us/IMO/report.aspx,?swiscode=,SWIS,&printkey=,1st 3,%20%20%20,4 through 13,%20%20%20%20&sitetype=,RES/COM,&siteNum=1
Tioga,https://imo.co.tioga.ny.us/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Tompkins,https://property.tompkins-co.org/IMO/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Ulster,https://imo.ulstercountyny.gov/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Warren,https://imo.warrencountyny.gov/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Washington,https://imo.washingtoncountyny.gov/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Wyoming,https://wyomingpublic.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Yates,https://yates.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Alden,https://townofalden.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Amherst,https://townofamherst.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Andes,https://townofandes.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Bethlehem,https://sdg.townofbethlehem.org/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Canadaigua,https://townofcanandaigua.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Cheektowaga,https://townofcheektowaga.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Coeymans,https://townofcoeymans.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Colonie,https://townofcolonie.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
East Bloomfield,https://townofeastbloomfield.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Erwin,https://townoferwin.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,%20%20%20%20&sitetype=,,,RES/COM,&siteNum=1
Greene,https://townofgreene.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Mamaroneck,https://townofmamaroneck.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,1st 9,%20%20%20%20%20%20%20,10 through 13,&sitetype=,RES/COM,&siteNum=1
New Hartford,https://townofnewhartford.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
New Scotland,https://townofnewscotland.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Ontario,https://townofontario.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
Patterson,https://townofpatterson.sdgnys.com/report.aspx,?swiscode=,SWIS,&printkey=,SBL,&sitetype=,,,RES/COM,&siteNum=1
